run_name,run_dir,split,model,pretraining,linear_probe,degradation,learning_rate,epoch_col,val_acc_col,train_acc_col,best_val_acc,best_epoch,last_val_acc,last_epoch
transnext_linear_probe_transnext_micro_pt_out224_lowres16_lr1e-03,runs\pilot\transnext_linear_probe_transnext_micro_pt_out224_lowres16_lr1e-03,pilot,TransNeXt,pretrained,True,16,1e-03,epoch,val_acc,train_acc,0.6445,1,0.6445,1
baseline_official_resnet50_pt_out32_lowres16_lr1e-03,runs\official\baseline_official_resnet50_pt_out32_lowres16_lr1e-03,official,ResNet50,pretrained,False,16,1e-03,epoch,val_acc,train_acc,0.545,17,0.516,20
densenet_official_densenet121_pt_out32_lowres16_lr1e-03,runs\official\densenet_official_densenet121_pt_out32_lowres16_lr1e-03,official,DenseNet121,pretrained,False,16,1e-03,epoch,val_acc,train_acc,0.5115,19,0.506,20
cmp_lr32_resnet50_pt_out32_lr32,runs\archive\cmp_lr32_resnet50_pt_out32_lr32,archive,ResNet50,pretrained,False,32,,epoch,val_acc,train_acc,0.5055,5,0.5055,5
cmp_model_r18_resnet18_pt_out32_lr16,runs\archive\cmp_model_r18_resnet18_pt_out32_lr16,archive,ResNet18,pretrained,False,16,,epoch,val_acc,train_acc,0.485,4,0.444,5
baseline_resnet50_pt_out32_lr16,runs\archive\baseline_resnet50_pt_out32_lr16,archive,ResNet50,pretrained,False,16,,epoch,val_acc,train_acc,0.484,5,0.484,5
baseline_official_lr8_resnet50_pt_out32_lowres8_lr1e-03,runs\official\baseline_official_lr8_resnet50_pt_out32_lowres8_lr1e-03,official,ResNet50,pretrained,False,8,1e-03,epoch,val_acc,train_acc,0.4795,18,0.473,20
cmp_lr16_resnet50_pt_out32_lr16,runs\archive\cmp_lr16_resnet50_pt_out32_lr16,archive,ResNet50,pretrained,False,16,,epoch,val_acc,train_acc,0.4555,5,0.4555,5
cmp_model_dn121_densenet121_pt_out32_lr16,runs\archive\cmp_model_dn121_densenet121_pt_out32_lr16,archive,DenseNet121,pretrained,False,16,,epoch,val_acc,train_acc,0.455,4,0.451,5
densenet_official_lr8_densenet121_pt_out32_lowres8_lr1e-03,runs\official\densenet_official_lr8_densenet121_pt_out32_lowres8_lr1e-03,official,DenseNet121,pretrained,False,8,1e-03,epoch,val_acc,train_acc,0.4505,19,0.442,20
