group,run_name,model_name,pretrained,out_size,low_res,epochs,batch_size,train_subset,val_subset,lr,tag,best_val_acc,total_time,run_dir
archive,baseline_resnet50_pt_out32_lr16,resnet50,True,32,16,5,32,5000,2000,0.001,baseline,0.4840,557.0s,runs\archive\baseline_resnet50_pt_out32_lr16
archive,cmp_lr16_resnet50_pt_out32_lr16,resnet50,True,32,16,5,32,5000,2000,0.001,cmp_lr16,0.4555,511.1s,runs\archive\cmp_lr16_resnet50_pt_out32_lr16
archive,cmp_lr32_resnet50_pt_out32_lr32,resnet50,True,32,32,5,32,5000,2000,0.001,cmp_lr32,0.5055,508.0s,runs\archive\cmp_lr32_resnet50_pt_out32_lr32
archive,cmp_lr8_resnet50_pt_out32_lr8,resnet50,True,32,8,5,32,5000,2000,0.001,cmp_lr8,0.4170,382.8s,runs\archive\cmp_lr8_resnet50_pt_out32_lr8
archive,cmp_model_dn121_densenet121_pt_out32_lr16,densenet121,True,32,16,5,32,5000,2000,0.001,cmp_model_dn121,0.4550,1238.4s,runs\archive\cmp_model_dn121_densenet121_pt_out32_lr16
archive,cmp_model_r18_resnet18_pt_out32_lr16,resnet18,True,32,16,5,32,5000,2000,0.001,cmp_model_r18,0.4850,353.7s,runs\archive\cmp_model_r18_resnet18_pt_out32_lr16
archive,densenet121_pt_out32_lr16,densenet121,True,32,16,1,32,2000,1000,0.001,,0.2480,120.0s,runs\archive\densenet121_pt_out32_lr16
archive,densenet121_pt_out32_lr16_,,,,,,,,,,,,84.2s,runs\archive\densenet121_pt_out32_lr16_
archive,resnet18_scratch_out32_lr16,,,,,,,,,,,,34.9s,runs\archive\resnet18_scratch_out32_lr16
archive,resnet50_pt_out32_lr16,,,,,,,,,,,,35.2s,runs\archive\resnet50_pt_out32_lr16
archive,test_resnet18_scratch_out32_lr16,resnet18,False,32,16,1,32,200,200,0.001,test,0.0750,3.8s,runs\archive\test_resnet18_scratch_out32_lr16
official,baseline_official_lr8_resnet50_pt_out32_lowres8_lr1e-03,resnet50,True,32,8,20,32,5000,2000,0.001,baseline_official_lr8,0.4795,1890.9s,runs\official\baseline_official_lr8_resnet50_pt_out32_lowres8_lr1e-03
official,baseline_official_resnet50_pt_out32_lowres16_lr1e-03,resnet50,True,32,16,20,32,5000,2000,0.001,baseline_official,0.5450,1696.1s,runs\official\baseline_official_resnet50_pt_out32_lowres16_lr1e-03
official,densenet_official_densenet121_pt_out32_lowres16_lr1e-03,densenet121,True,32,16,20,32,5000,2000,0.001,densenet_official,0.5115,6237.7s,runs\official\densenet_official_densenet121_pt_out32_lowres16_lr1e-03
official,densenet_official_lr8_densenet121_pt_out32_lowres8_lr1e-03,densenet121,True,32,8,20,32,5000,2000,0.001,densenet_official_lr8,0.4505,5105.6s,runs\official\densenet_official_lr8_densenet121_pt_out32_lowres8_lr1e-03
