epoch,train_loss,train_acc,val_loss,val_acc
1,2.205474,0.173000,2.182629,0.244000
2,1.936194,0.279200,1.936898,0.306000
3,1.789579,0.344200,1.777765,0.350500
4,1.693960,0.377800,1.682839,0.380500
5,1.624329,0.417800,1.667002,0.405000
6,1.517460,0.453200,1.613367,0.417500
7,1.444938,0.480600,1.605637,0.417500
8,1.348847,0.518600,1.617127,0.446500
9,1.314537,0.527000,1.603961,0.456000
10,1.244166,0.572800,1.605178,0.449500
11,1.132253,0.601000,1.635246,0.446500
12,1.076683,0.623800,1.633989,0.466000
13,0.972989,0.661400,1.632132,0.473000
14,0.905073,0.680800,1.716558,0.459500
15,0.851105,0.705200,1.811418,0.447500
16,0.767476,0.735400,1.872203,0.453500
17,0.737169,0.744200,1.770608,0.466000
18,0.673212,0.767000,1.896940,0.479500
19,0.610497,0.794200,1.883019,0.460000
20,0.568454,0.805800,1.922873,0.473000
