epoch,train_loss,train_acc,val_loss,val_acc
1,2.136078,0.213600,2.093736,0.251500
2,1.897737,0.311000,2.048009,0.359500
3,1.721531,0.371400,1.690380,0.392000
4,1.572298,0.433800,1.640015,0.424500
5,1.445772,0.475400,1.544558,0.456500
6,1.332714,0.519400,1.559609,0.467500
7,1.244880,0.553600,1.569495,0.470500
8,1.193297,0.572800,1.468617,0.482500
9,1.105153,0.611600,1.478545,0.503000
10,1.037156,0.629200,1.465180,0.511500
11,0.937851,0.675000,1.534028,0.514000
12,0.864611,0.702800,1.529211,0.508000
13,0.775992,0.729600,1.545950,0.521500
14,0.717692,0.754000,1.668569,0.533000
15,0.708347,0.761400,1.619933,0.528000
16,0.630473,0.788600,1.717492,0.521500
17,0.570375,0.805400,1.629490,0.545000
18,0.519095,0.827600,1.748060,0.530500
19,0.456788,0.845400,1.902190,0.502500
20,0.452310,0.844800,1.778187,0.516000
