epoch,train_loss,train_acc,val_loss,val_acc
1,2.151103,0.253800,2.119213,0.319500
2,1.802305,0.363000,2.840867,0.370500
3,1.646147,0.433200,1.747827,0.425000
4,1.652429,0.432000,1.919106,0.426500
5,1.483986,0.477400,1.629935,0.443000
6,1.326148,0.533200,1.574988,0.472000
7,1.223599,0.567400,1.660989,0.490500
8,1.153471,0.593400,1.648688,0.505000
9,1.019910,0.642400,1.626791,0.500500
10,0.972031,0.662600,1.639549,0.498000
11,0.884097,0.692400,1.632257,0.488500
12,0.819348,0.720000,1.732109,0.484500
13,0.818392,0.717200,1.857603,0.497000
14,0.768988,0.731600,1.721287,0.505000
15,0.666895,0.772200,1.744225,0.510500
16,0.607440,0.791800,1.777903,0.497500
17,0.550321,0.814000,1.817880,0.508000
18,0.531145,0.828800,1.919021,0.502500
19,0.558195,0.809800,1.900581,0.511500
20,0.505156,0.825200,1.993973,0.506000
