epoch,train_loss,train_acc,val_loss,val_acc
1,2.147422,0.245600,2.354857,0.317000
2,1.878326,0.339000,1.921499,0.342500
3,1.727262,0.386400,1.833214,0.383000
4,1.588498,0.438400,1.708149,0.418000
5,1.481832,0.475800,1.618626,0.438500
6,1.393136,0.504000,1.648325,0.434000
7,1.330099,0.538600,1.628590,0.442500
8,1.242090,0.563400,1.764347,0.429000
9,1.175521,0.586800,1.671526,0.446000
10,1.102818,0.613800,1.824664,0.446000
11,1.047565,0.637400,1.858256,0.434000
12,0.982383,0.659000,1.951793,0.431500
13,0.919718,0.684800,1.902431,0.439500
14,0.900048,0.682600,1.916901,0.441500
15,0.840006,0.718200,2.016095,0.445000
16,0.751999,0.740600,2.059776,0.441500
17,0.704444,0.761400,2.073016,0.435000
18,0.619064,0.790200,2.273523,0.440500
19,0.613941,0.794600,2.198143,0.450500
20,0.532496,0.818800,2.203896,0.442000
