epoch,train_loss,train_acc,val_loss,val_acc
1,2.324404,0.097400,2.313642,0.108500
2,2.309963,0.104000,2.304397,0.099000
3,2.308091,0.098600,2.308504,0.098000
4,2.301338,0.108400,2.309344,0.092500
5,2.305679,0.100800,2.305989,0.097500
6,2.305108,0.099400,2.303258,0.108000
7,2.304332,0.100800,2.319292,0.108000
8,2.305366,0.096400,2.303656,0.092500
9,2.303991,0.108000,2.303559,0.098000
10,2.304037,0.099800,2.302747,0.099000
11,2.305063,0.101800,2.305794,0.101500
12,2.304559,0.109200,2.303512,0.098000
13,2.304452,0.101600,2.303967,0.108000
14,2.304472,0.100600,2.302618,0.108500
15,2.304795,0.103800,2.303898,0.108500
16,2.304512,0.099600,2.303632,0.099000
17,2.304490,0.101400,2.303172,0.098000
18,2.303736,0.103200,2.303293,0.099000
19,2.303634,0.106600,2.309247,0.098000
20,2.304571,0.108400,2.302500,0.108000
21,2.304281,0.102600,2.302501,0.098000
22,2.304065,0.096600,2.302529,0.099000
23,2.303309,0.097000,2.307904,0.108000
24,2.304949,0.101200,2.303220,0.097500
25,2.303769,0.104800,2.302956,0.099000
26,2.303599,0.102000,2.302607,0.108000
27,2.303826,0.103200,2.311555,0.099000
28,2.303936,0.102800,2.302331,0.108000
29,2.303669,0.097400,2.302618,0.099000
30,2.303470,0.099800,2.302921,0.097500
31,2.304140,0.101400,2.302040,0.108000
32,2.303864,0.104000,2.302117,0.108500
33,2.303823,0.099600,2.305235,0.097500
34,2.303110,0.106800,2.303741,0.099000
35,2.303146,0.104000,2.303233,0.099000
36,2.303399,0.110000,2.308355,0.099000
37,2.303965,0.101400,2.302788,0.097500
38,2.303286,0.102000,2.307209,0.099000
39,2.303396,0.100600,2.302821,0.108000
40,2.303426,0.099600,2.303233,0.097500
