epoch,train_loss,train_acc,val_loss,val_acc
1,2.324586,0.100600,2.319072,0.099000
2,2.311372,0.101600,2.304273,0.108500
3,2.308825,0.098800,2.308222,0.097500
4,2.307018,0.105400,2.302428,0.108500
5,2.305764,0.097400,2.303282,0.101500
6,2.304719,0.109400,2.304923,0.099000
7,2.305994,0.102800,2.302983,0.108000
8,2.304426,0.106000,2.302832,0.108500
9,2.305024,0.101400,2.302941,0.108000
10,2.304497,0.098400,2.302914,0.108500
11,2.304067,0.111800,2.303807,0.097500
12,2.305145,0.098000,2.305360,0.099000
13,2.305126,0.099400,2.303957,0.098000
14,2.304395,0.097600,2.304483,0.101500
15,2.305435,0.092400,2.303251,0.101500
16,2.304011,0.098400,2.302538,0.097500
17,2.304323,0.096200,2.303539,0.098000
18,2.303947,0.103600,2.302289,0.108000
19,2.303910,0.100200,2.307638,0.098000
20,2.305171,0.107600,2.302861,0.097500
21,2.304665,0.097400,2.303702,0.098000
22,2.304031,0.089800,2.302697,0.096500
23,2.303236,0.107600,2.303289,0.108000
24,2.303865,0.103800,2.303715,0.108500
25,2.304026,0.097000,2.302191,0.108500
26,2.303846,0.104400,2.303772,0.098000
27,2.304232,0.102600,2.303809,0.101500
28,2.303855,0.105200,2.303645,0.108000
29,2.303969,0.097800,2.302961,0.108500
30,2.303705,0.104600,2.302488,0.108500
31,2.304217,0.097200,2.302276,0.108000
32,2.303557,0.105200,2.302713,0.099000
33,2.303685,0.098200,2.302931,0.108000
34,2.303230,0.101000,2.303985,0.108000
35,2.303642,0.107800,2.301868,0.108000
36,2.303480,0.103600,2.301669,0.108000
37,2.303571,0.096400,2.304310,0.099000
38,2.303957,0.097200,2.302104,0.108000
39,2.303862,0.098000,2.304733,0.108500
40,2.303141,0.106200,2.303704,0.099000
